id,title,type,agency,incident_date,incident_location,featured,redacted,sha256,size_bytes,source_url,dvids_video_id,description
CIA-UAP-D020,"CIA-UAP-D020, Memorandum on Unconventional Aircraft Sightings, 1955",PDF,CIA,1955,Azerbaijan,,No,973be877f06b55373da6c7a1022ca25345fdeb7864414fe4ae29d83ef963b7e9,368172,https://www.war.gov/medialink/ufo/071026/release_04/documents/CIA-UAP-D020_Memorandum-on-Unconventional-Aircraft-Sightings_1955.pdf,,"This memorandum summarizes a Central Intelligence Agency (CIA) debriefing of a group of four individuals who reported observing a “flying saucer” or “unconventional aircraft” in 1955. The group, which included U.S. Senator Richard Russell, a U.S. military service member, and two U.S. Government officials, reported observing a luminescent “greenish-yellow” phenomenon, as seen from aboard a train while traveling within the Soviet Union, in present-day Azerbaijan, between Baku and Tiflis (Tbilisi, Georgia). The document concludes by stating that the observation can “probably be explained as steep climbing aircraft or missiles,” and that “the evidence does not appear sufficiently firm to warrant the conclusion that the Soviets have developed […] a radically new type of aircraft.” The document “CIA-UAP-D021” contains a contemporary analysis of the incident."
CIA-UAP-D021,"CIA-UAP-D021, Analysis of Unconventional Aircraft Sightings, 1955",PDF,CIA,1955,,,Yes,e2640e79f3733d5ed3e8aebd510f130f5601555f306eefee5e1c08a24d002ad0,414564,https://www.war.gov/medialink/ufo/071026/release_04/documents/CIA-UAP-D021_Analysis-of-Unconventional-Aircraft-Sightings_1955.pdf,,"Sections 1 and 2 of this memorandum document a 1955 analysis of reports of “flying saucers” or “unconventional aircraft,” referencing the incident described in observer debriefings contained within CIA-UAP-D020. The memo summarizes the incident as consisting of two lights rising vertically, then passing above the observers. The memo contains caveating language that suggests the author concluded that the reports, as described, did not indicate the presence of an “unconventional aircraft.” Section 3 cites a previous finding by Dr. [Howard] Robertson (of the 1953 Robertson Panel) that “almost all the sightings […] represented no threat to the U.S.” Section 4 discusses the state of then-current research into “saucer-like aircraft” under Project “Y,” a contemporary joint U.S.-Canadian aerospace development program."
DOE-UAP-D005,"DOE-UAP-D005, Pantex Unidentified Object Incident Report, 2015",PDF,Department of Energy,9/1/15,Texas,,Yes,249cd9f5b85c4a92dc819d65e1dad180744479d1c8a68ebbc202ade66facbcbb,1244028,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOE-UAP-D005_Pantex-Unidentified-Object-Incident-Report_2015.pdf,,"This file contains imagery and a report documenting the circumstances surrounding a September 1, 2015, incident involving an unidentified object intruding the airspace above the Pantex Plant near Amarillo, Texas. The Pantex Plant is a sensitive national security site that contains the primary facility for the assembly, disassembly, maintenance, and life-extension of nuclear weapons. Pages 5 and 6 of this report were originally released under the PURSUE initiative in a more redacted form on May 22, 2026. (See: DOE-UAP-D001, Enhanced Pantex Imagery)"
DOW-UAP-D089,"DOW-UAP-D089, Range Fouler Debrief, Eastern United States, 2020",PDF,Department of War,2020,Eastern United States,,Yes,3ad2058e00a44e2bb5453648be0eac0dd1a2ff40deeeb2707a19cc59b11ee685,1931453,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D089_Range-Fouler-Debrief_Eastern-US_2020.pdf,,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. This report accompanies the video titled “DOW-UAP-PR106.”

A U.S. military operator reported observing an object, describing it as “quite small” and as “continu[ing] in a constant direction.” The report characterizes the shape of the phenomenon as “indistinguishable,” with a metallic appearance and reflective underside.

All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
DOW-UAP-D090,"DOW-UAP-D090, Range Fouler Debrief, Eastern United States, 2019",PDF,Department of War,2019,Eastern United States,,Yes,1bd82107a638e44f4f6011aaf6fb323bcdd36334a59980a5c19a5aad9ff69b52,1449537,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D090_Range-Fouler-Debrief_Eastern-US_2019.pdf,,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. This report accompanies the video titled “DOW-UAP-PR112.”

Five U.S. military-affiliated personnel reported observing an object “with flight characteristics unlike anything [the observer] had seen in 28 years [of service] for the U.S. Air Force and U.S. Navy. The report characterizes the phenomenon as “small” and “travelling in a straight line opposite [the platform’s] direction at high speed.” The reporter added that, “others with equal or more experience were also unsure as to what the object might be.”

All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
DOW-UAP-D091,"DOW-UAP-D091, Range Fouler Debrief, Atlantic Ocean, 2020",PDF,Department of War,2020,Atlantic Ocean,,Yes,d13ab718a436af2d13d1e3060e49239528b174829ba4ea89003f27da3ea3d7be,1761587,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D091_Range-Fouler-Debrief_Atlantic-Ocean_2020.pdf,,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active military operations or training. These reports contain a narrative description of the observer’s experiences. This report accompanies the video titled “DOW-UAP-PR116.”

A U.S. military operator reported observing an object, describing the phenomenon as “darker, maroonish color, approximately 12-15 feet in height.” The report describes the phenomenon “travel[ing] with the wind” and noted that it did not “maneuver or change direction.” It also describes the phenomenon as appearing as a “large, somewhat deformed balloon.”

All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
DOW-UAP-D092,"DOW-UAP-D092, Department of the Air Force Committee to Review Project Bluebook, 1966-1967",PDF,Department of War,4/17/67,Various,,No,9c774fcb34ca56cf1b8da8bfe0413f42c6014c096215966c0fd919be5d77ec52,24142323,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D092_DAF-Committee-to-Review-Project-Bluebook_1966-1967.pdf,,This file documents the 1966-1967 deliberations and recommendations of the U.S. Air Force (USAF) Scientific Advisory Board’s Ad Hoc Committee to Review Project Blue Book. Project Blue Book was a 1952-1969 USAF program to investigate the nature and origin of unidentified flying objects (UFO). The Committee recommended that the USAF contract a scientific team composed of university-affiliated representatives to investigate selected UFO sightings. The USAF subsequently adopted the Committee’s recommendation.
DOW-UAP-D093,"DOW-UAP-D093, Analysis of Flying Object Incidents in the United States, 1948",PDF,Department of War,12/10/48,Virginia,,No,6a94a4548eac7933948fad4706e161c6a251bf5eaa9d05d70981b40cb1e80745,13574715,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D093_Analysis-of-Flying-Object-Incidents-in-the-US_1948.pdf,,"This file contains a U.S. Air Force (USAF) Air Intelligence Division study, “Analysis of Flying Object Incidents in the United States,” Study No. 203, dated 12/10/1948. The analysis includes an assessment of various reported unidentified flying object (UFO) incidents and theories to account for their nature and origin. Overall, the study assesses that “it appears that some object has been seen; however, the identification of that object cannot be readily accomplished.” The study offers that two “reasonable” origins might account for the phenomena: technologies of a domestic or foreign origin. It also suggests that, if foreign, it is prudent for the United States to assume that UFO observations are attributable to scientific, military, or intelligence activities of the Soviet Union, and, in that case, to take seriously the threat such objects may pose. The file also contains contemporary UFO reports and examples of experimental “flying wing” type aircraft planforms that might account for certain commonly reported UFO characteristics.

AARO Comment: This file appears to be an earlier draft version of the file contained in DOW-UAP-D094, whose content is substantively similar."
DOW-UAP-D095,"DOW-UAP-D095, Joint U.S.-Canadian Aviation Projects and UFO Sighting Reports, 1954-1955",PDF,Department of War,1955,Various,,No,9c7629703ed55608b29000e490ac91be260e6088587f9048d7412593233878f9,32221008,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D095_Joint-US-Canadian-Aviation-Projects-and-UFO-Sighting-Reports_1954-1955.pdf,,"This file contains reports, memoranda, and correspondence concerning various then-developmental vertical take-off and landing (VTOL) aircraft. The file includes assessments of the experimental potential of the “Avro Project Y2,” a joint U.S.-Canadian near-circular VTOL aircraft that is similar in appearance to contemporary popular descriptions of unidentified flying objects (UFO). A 1954 memorandum opines that VTOL aircraft with a circular planform may be mistaken for UFOs to observers unfamiliar with such technologies. It also recommends that UFO reports in the vicinity of Soviet military operations or assets be re-examined to assess whether they may be attributable to previously unknown advanced VTOL aircraft of foreign design.

The file also contains correspondence relating to a UFO incident involving a U.S. Air Force (USAF) KC-97 flying near Newfoundland, Canada in July 1955. A USAF committee found that the characteristics described in the report were inconsistent with those of known Soviet, American, or Canadian military systems. The committee was also “unable to explain the simultaneous ground radar returns and aircrew visual sightings.”

It also contains correspondence relating to the potential value of data from incidental radar collection of meteors entering the atmosphere. USAF Air Research and Development Command recommended using that data to improve the performance of the AN/FPS-17 radar system. Finally, the file contains correspondence indicating support for the Communications Instructions for Reporting Vital Intelligence Sightings (CIRVIS) program, a joint U.S.-Canadian civil-military program to standardize reporting methods for unusual or unidentified airborne and maritime hazards and threats."
DOW-UAP-D096,"DOW-UAP-D096, Correspondence Relating to Project Blue Book, 1955",PDF,Department of War,1955,Various,,No,2c64dc1cd88ac9717cad81ecee9518af9310bebf5fc51596b85737374e2bf4cf,126111298,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D096_Correspondence-Relating-to-Project-Blue-Book_1955.pdf,,"This file contains correspondence relating to Project Blue Book, a 1952-1969 U.S. Air Force program to investigate the nature and origin of unidentified flying objects (UFO). The correspondence includes letters and memoranda sent between various departments and agencies of the U.S. Government, the Legislative Branch, and private citizens concerning UFO sightings and the research and findings of Project Blue Book."
DOW-UAP-PR024,"DOW-UAP-PR024, Unresolved UAP Report, Middle East, 2023",VID,Department of War,2023,Middle East,,No,4b07fe1dd556d8595ecc1f602959c22e43deaf7dc992a981772c0cf9697e2b41,10919501,,1014100,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 18 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2023.

Video Description: 
00:01: The sensor focuses on a dark area of contrast, narrowing the field of view to zoom in.
00:02: Two bright areas of contrast transit the frame from left to right.
00:03: The sensor zooms out, keeping the bright areas of contrast within the frame.
00:05: The bright areas of contrast exit the right side of the frame.
00:07: The sensor refocuses on the dark area of contrast, keeping it generally within the center of the frame. 
00:10: A reticle surrounds the dark area of contrast, which continues to remain generally within the center of the frame.
00:17: The sensor changes contrast and zoom settings, causing the frame to flash white.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR030,"DOW-UAP-PR030, Unresolved UAP Report, Middle East, 2023",VID,Department of War,2023,Middle East,,Yes,22768155ccc4beec135c49559ae7cf4a2092c944422fdffb0eeab815058d0a81,12522331,,1014102,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 10 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2023.

Video Description: 
00:01-00:05: No content.
00:06-00:07: Two areas of contrast transit the sensor field-of-view. The first enters the field-of-view from the bottom right and exits from the top edge of the frame. The second, relatively smaller area of contrast enters from the top and exits the bottom of the frame.
00:08-00:10: No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR100,"DOW-UAP-PR100, Unresolved UAP Report, Yellow Sea, 2023",VID,Department of War,2023,Yellow Sea,,Yes,1210749cf671a113f953a5955b043c1fb02acc5ebb8a0b3c66b5bd172ef00721,236563582,,1014096,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 4 minutes and 57 seconds of video footage from an electro-optical and infrared sensor system aboard a U.S. military platform in 2023.

Video Description: The overall quality of this video footage progressively degrades over its runtime.
00:01-00:08: In infrared mode, the sensor tracks an area of contrast, keeping it generally within the center of the frame.
00:09-01:03: The sensor zooms in and tracks the area of contrast, holding it generally within the center of the frame.
01:04-01:10: The sensor display switches modes to an electro-optical day time television camera feed (a collection mode that displays visible and near infrared signatures). The video features a dark object superimposed against a blue background.
01:11-01:13: The sensor display changes modes to infrared. The area of contrast is no longer visible within the frame.
01:14-02:16: The sensor zooms in and changes contrast settings. An area of contrast is visible near the center of the frame.
02:17-02:22: The area of contrast repeatedly leaves and enters the sensor field-of-view.
02:23-02:46: The sensor reacquires and tracks the area of contrast, keeping it generally within the center of the frame.
02:47-03:27: The sensor zooms in, tracking the area of contrast.
03:28-03:32: The footage appears to “skip,” or lose coherence.
03:33-03:46: The footage returns to its previous state, and the sensor continues to track the area of contrast generally within the center of the frame.
03:47-04:32: The sensor zooms out.
04:33-04:40: The area of contrast repeatedly leaves and enters the sensor field-of-view.
04:41-04:45: No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR101,"DOW-UAP-PR101, Unresolved UAP Report, South China Sea, 2024",VID,Department of War,2024,South China Sea,,Yes,37cb4187263359c0d8d8c006f16033766fabc6e32819fe8d28941247eb93f8b4,87845636,,1014097,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 1 minute and 46 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2024.

Video Description: 
00:01-00:12: The sensor tracks an area of contrast, keeping it generally within the center of the frame.
00:13-00:28: The sensor zooms in and tracks an elongated area of contrast, keeping it generally to the left of the center of the frame.
00:29-00:33: The sensor zooms in again. The area of contrast appears as a “line” of several areas of contrast moving across the sensor field-of-view from the bottom right to the top left.
00:34-01:44: The sensor pans to track the areas of contrast for approximately 1 minute. They become less distinct over time as their distance from the sensor increases. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR102,"DOW-UAP-PR102, Unresolved UAP Report, East China Sea, 2024",VID,Department of War,2024,East China Sea,,Yes,a7aa0693e04189910fb7328ac0d26d88e0c62bd7eb61b42588131e7867ed6a47,17258473,,1014098,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 36 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2024.

Video Description: 
00:01-00:20: The sensor tracks an area of contrast, keeping it generally within the center of the frame.
00:21-00:29: The area of contrast exits the sensor field-of-view at the top of the frame.
00:30-00:36: The sensor zooms out and in several times. No content

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR103,"DOW-UAP-PR103, Unresolved UAP Report, East China Sea, 2024",VID,Department of War,2024,East China Sea,,Yes,8c60f49dbbfecf07512d0c051e8b5171e811c9224bf6bf152f5eceeb6e46779a,11727305,,1014099,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 1 minute and 16 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2024.

Video Description: 
00:01-01:16: The sensor pans to track an area of contrast, keeping it generally within the center of the frame.
00:12-01:16: An auto-tracking reticle surrounds the area of contrast. The sensor tracks the area of contrast, keeping it generally within the center of the frame.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR106,"DOW-UAP-PR106, Unresolved UAP Report, Eastern United States, 2020",VID,Department of War,2020,Eastern United States,,No,19371ac547bf3fea3c8715d772df74a41786c3fb9835e8c4bebad4d7595e3243,2928948,,1014104,"The United States Northern Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 11 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2020. An accompanying Range Fouler Debrief, DOW-UAP-D089, describes the phenomenon as “quite small” and as “continu[ing] in a constant direction.” The report characterizes the shape of the phenomenon as “indistinguishable,” with a metallic appearance and reflective underside.

Video Description: This media was digitally altered before being reported to AARO, and is presented as received.
00:01-00:01: An area of contrast is visible above the center of the frame. 
00:02-00:04: The sensor switches modes, causing the area of contrast to rapidly move about within the field-of-view. The area of contrast leaves the sensor field-of-view from the top of the frame.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR107,"DOW-UAP-PR107, Unresolved UAP Report, Eastern United States, 2020",VID,Department of War,2020,Eastern United States,,Yes,8d34ac0c074930b08dad4b366b2ac18dafb8000f34fad05c97032275c8fad4e6,10305290,,1014105,"The United States Northern Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 28 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2020.

Video Description:
00:01-00:02: No content.
00:03-00:11: An area on contrast enters the sensor field-of-view from the top right of the frame. The sensor pans to track the area of contrast, which repeatedly leaves and re-enters the sensor field-of-view.
00:12-00:16: The sensor zooms out and in.
00:17-00:23: The sensor pans to track the area of contrast, which repeatedly leaves and re-enters the sensor field-of-view.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR108,"DOW-UAP-PR108, Unresolved UAP Report, Western United States, 2020",VID,Department of War,2020,Western United States,,No,e38036bd96383206b10adbac9e7c2f43e42f8950a2d37df8a7cb5a835bccaec5,41085905,,1014106,"The United States Northern Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 2 minutes and 16 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2020.

Video Description: 
00:01-00:15: No content.
00:16-00:19: The footage flashes between normal operation and a black screen several times as the sensor changes display modes.
00:20-00:27: No content.
00:28-00:33: The sensor zooms in and pans to track an area of contrast, keeping it generally within the center of the frame.
00:34-00:57: An auto-tracking reticle surrounds the area of contrast as the sensor continues to track it against the background.
00:58-01:10: The sensor adjusts its zoom level and contrast settings several times.
01:11-01:34: The area of contrast leaves the sensor field-of-view to the left of the frame. The sensor adjusts its zoom level and contrast settings several times. No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
